Electricity Generation Sector,Fossil fuel combustion: carbon dioxide
1990,1819.950589
1991,1817.358684
1992,1830.687959
1993,1906.172074
1994,1930.468474
1995,1947.173238
1996,2020.242971
1997,2087.519803
1998,2176.554625
1999,2189.665823
2000,2296.030775
2001,2257.085008
2002,2272.138414
2003,2303.560467
2004,2334.99299
2005,2399.973541
2006,2344.35248
2007,2411.111315
2008,2359.310818
2009,2145.330594
2010,2258.618541
2011,2158.055471
2012,2023.246205
2013,2038.257935
2014,2037.14777
2015,1900.624461
2016,1808.86261
2017,1732.024827
2018,1752.84875
